*test row do not delete*,Department of Unit Tests,TRAIN,,,5_current,http://art.washington.edu/calendar/
*test row do not delete*,Department of Unit Tests,TRAIN,,,past,
*test row do not delete*,Department of Unit Tests,TRAIN,,,far_future,
*test row do not delete*,Department of Other Unit Tests,,TRAINR,,2_current,
*test row do not delete*,Department of Other Unit Tests,,TRAINR,,5_current,http://art.washington.edu/calendar/
*test row do not delete*,Department of Other Unit Tests,,TRAINR,,future_1,
*test row do not delete*,Department of Other Unit Tests,,,UPCOM,future_1,
*test row do not delete*,Department of Other Unit Tests,,,UPCOM,far_future,
*test row do not delete*,Department of Other Unit Tests,,,UPCOM,past,
*test row do not delete*,Department of Other Unit Tests,,UPCOM2,,future_2,
,BUSINESS ADMINISTRATION (BOTHELL CAMPUS),BUSINESS ADMIN (BOTHELL),,,bot_business,Yes,
,BUSINESS ADMINISTRATION (BOTHELL CAMPUS),PRE BUS AD (BOTHELL)    ,,,bot_business,Yes,
,BUSINESS ADMINISTRATION (BOTHELL CAMPUS),,BUSINESS ADMIN (BOTHELL),,bot_business,Yes,
,BUSINESS ADMINISTRATION (BOTHELL CAMPUS),,RETAIL MANAGEMENT       ,,bot_business,Yes,
,BUSINESS ADMINISTRATION (BOTHELL CAMPUS),,,ACCOUNTING (BOTHELL)    ,bot_business,Yes,
,BUSINESS ADMINISTRATION (BOTHELL CAMPUS),,,BUSINESS ADMIN (BOTHELL),bot_business,Yes,
,BUSINESS ADMINISTRATION (BOTHELL CAMPUS),,,MBA - TECH (BOTHELL)    ,bot_business,Yes,
,BUSINESS ADMINISTRATION (BOTHELL CAMPUS),,,MBA LEADERSHIP (BOTHELL),bot_business,Yes,
,BUSINESS ADMINISTRATION (TACOMA CAMPUS) ,ACCOUNTING (TACOMA)     ,,,tac_milgard-school-of-business,Yes,
,BUSINESS ADMINISTRATION (TACOMA CAMPUS) ,BUSINESS ADMIN (TACOMA) ,,,tac_milgard-school-of-business,Yes,
,BUSINESS ADMINISTRATION (TACOMA CAMPUS) ,BUS AD (FINANCE) (TAC)  ,,,tac_milgard-school-of-business,Yes,
,BUSINESS ADMINISTRATION (TACOMA CAMPUS) ,BUS AD (MANAGEMENT) TAC ,,,tac_milgard-school-of-business,Yes,
,BUSINESS ADMINISTRATION (TACOMA CAMPUS) ,BUS AD (MARKETING) (TAC),,,tac_milgard-school-of-business,Yes,
,BUSINESS ADMINISTRATION (TACOMA CAMPUS) ,PRE BUS AD (TACOMA)     ,,,tac_milgard-school-of-business,Yes,
,BUSINESS ADMINISTRATION (TACOMA CAMPUS) ,PRE BUS AD (TACOMA)     ,,,tac_milgard-school-of-business,Yes,
,BUSINESS ADMINISTRATION (TACOMA CAMPUS) ,,BUSINESS ADMIN (TACOMA) ,,tac_milgard-school-of-business,Yes,
,BUSINESS ADMINISTRATION (TACOMA CAMPUS) ,,,ACCOUNTING (TACOMA)     ,tac_milgard-school-of-business,Yes,
,BUSINESS ADMINISTRATION (TACOMA CAMPUS) ,,,UW TACOMA MBA           ,tac_milgard-school-of-business,Yes,
,CENTER FOR DIGITAL ARTS AND EXPMTL MEDIA,DIGTL ARTS AND EXP MEDIA,,,,,
,CENTER FOR DIGITAL ARTS AND EXPMTL MEDIA,,,DIGTL ARTS AND EXP MEDIA,,,
