Title,OLD Fac Code,NEW Building ID,OLD Post URL,OLD Resolved URL,OLD Query String URL,NEW URL,Notes
The Liberal Arts Quadrangle - The Quad (LNDMK-1),LNDMK-1,975450,https://www.washington.edu/maps/2011/05/04/the-liberal-arts-quadrangle-the-quad-lndmk-1/,https://www.washington.edu/maps/#!/LNDMK-1,https://www.washington.edu/maps/?LNDMK-1,https://map.uw.edu/?id=2099#!m/975450?share,
Theodor Jacobsen Observatory (OBS),OBS,975360,https://www.washington.edu/maps/2011/04/28/theodor-jacobsen-observatory/,https://www.washington.edu/maps/#!/OBS,https://www.washington.edu/maps/?OBS,https://map.uw.edu/?id=2099#!m/975360?share,
Thomson Hall (THO),THO,975365,https://www.washington.edu/maps/2011/04/28/thomson-hall/,https://www.washington.edu/maps/#!/THO,https://www.washington.edu/maps/?THO,https://map.uw.edu/?id=2099#!m/975365?share,
Transportation Services (UTC),UTC,1028843,https://www.washington.edu/maps/2011/04/28/university-transportation-center/,https://www.washington.edu/maps/#!/UTC,https://www.washington.edu/maps/?UTC,https://map.uw.edu/?id=2099#!m/1028843?share,
Union Bay Natural Area,union-bay-natural-area,975451,https://www.washington.edu/maps/2011/05/06/union-bay-natural-area/,https://www.washington.edu/maps/#!/union-bay-natural-area,https://www.washington.edu/maps/?union-bay-natural-area,https://map.uw.edu/?id=2099#!m/975451?share,
University Book Store (BOOK),BOOK,,https://www.washington.edu/maps/2011/04/28/university-book-store/,https://www.washington.edu/maps/#!/BOOK,https://www.washington.edu/maps/?BOOK,"https://map.uw.edu/?id=2099#!ct/94056,94058,94059?s/?mc/47.660584969764614,-122.31267303280964?z/17.963650617590073?lvl/0?share",
"University Medical Center, Surgery And Treatment Pavilion (UMSP)",UMSP,975011,https://www.washington.edu/maps/2011/04/28/university-medical-center-surgery-and-treatment-pavilion/,https://www.washington.edu/maps/#!/UMSP,https://www.washington.edu/maps/?UMSP,https://map.uw.edu/?id=2099#!m/975011?share,
"University Medical Center, Wing CC (UMCC)",UMCC,974950,https://www.washington.edu/maps/2011/04/28/university-medical-centercc/,https://www.washington.edu/maps/#!/UMCC,https://www.washington.edu/maps/?UMCC,https://map.uw.edu/?id=2099#!m/974950?share,
"University Medical Center, Wing EB (UMEB)",UMEB,975316,https://www.washington.edu/maps/2011/04/28/university-medical-center-wings-eb/,https://www.washington.edu/maps/#!/UMEB,https://www.washington.edu/maps/?UMEB,https://map.uw.edu/?id=2099#!m/975316?share,
"University Medical Center, Wing EE (UMEE)",UMEE,974360,https://www.washington.edu/maps/2011/04/28/university-medical-center-wings-ee/,https://www.washington.edu/maps/#!/UMEE,https://www.washington.edu/maps/?UMEE,https://map.uw.edu/?id=2099#!m/974360?share,
"University Medical Center, Wing NN (UMNN)",UMNN,975319,https://www.washington.edu/maps/2011/04/28/university-medical-center-wings-nn/,https://www.washington.edu/maps/#!/UMNN,https://www.washington.edu/maps/?UMNN,https://map.uw.edu/?id=2099#!m/975319?share,
"University Medical Center, Wing NW (UMNW)",UMNW,975320,https://www.washington.edu/maps/2011/04/28/university-medical-center-wings-nw/,https://www.washington.edu/maps/#!/UMNW,https://www.washington.edu/maps/?UMNW,https://map.uw.edu/?id=2099#!m/975320?share,
"University Medical Center, Wing SE (UMSE)",UMSE,975321,https://www.washington.edu/maps/2011/04/28/university-medical-center-wings-se/,https://www.washington.edu/maps/#!/UMSE,https://www.washington.edu/maps/?UMSE,https://map.uw.edu/?id=2099#!m/975321?share,
"University Medical Center, Wing SS (UMSS)",UMSS,975322,https://www.washington.edu/maps/2011/04/28/university-medical-center-wings-ss/,https://www.washington.edu/maps/#!/UMSS,https://www.washington.edu/maps/?UMSS,https://map.uw.edu/?id=2099#!m/975322?share,
"University Medical Center, Wing SW (UMSW)",UMSW,975323,https://www.washington.edu/maps/2011/04/28/university-medical-center-wings-sw/,https://www.washington.edu/maps/#!/UMSW,https://www.washington.edu/maps/?UMSW,https://map.uw.edu/?id=2099#!m/975323?share,
University of Washington Club (FAC),FAC,1028814,https://www.washington.edu/maps/2011/04/28/university-of-washington-club/,https://www.washington.edu/maps/#!/FAC,https://www.washington.edu/maps/?FAC,https://map.uw.edu/?id=2099#!m/1028814?share,
