Social Work / Speech & Hearing Sciences Building (SWS),http://www.washington.edu/maps/?SWS,"47.657459,-122.312416"
South Campus Center (SOCC),http://www.washington.edu/maps/?SOCC,"47.649596650241,-122.31093955952"
South Lake Union Administration (Slu Building C) (SLC),http://www.washington.edu/maps/?SLC,"47.623595,-122.340073"
South Lake Union Research A (SLA),http://www.washington.edu/maps/?SLA,"47.623569,-122.340686"
South Lake Union Research B (SLB),http://www.washington.edu/maps/?SLB,"47.624163,-122.340772"
Stevens Court A (SCA),http://www.washington.edu/maps/?SCA,"47.654265,-122.315429"
Stevens Court B (SCB),http://www.washington.edu/maps/?SCB,"47.654132,-122.31493"
Stevens Court C (SCC),http://www.washington.edu/maps/?SCC,"47.65383,-122.315102"
Stevens Court D (SCD),http://www.washington.edu/maps/?SCD,"47.653864,-122.315947"
Stevens Court J (SCJ),http://www.washington.edu/maps/?SCJ,"47.653824,-122.316462"
Stevens Court K (SCK),http://www.washington.edu/maps/?SCK,"47.654203,-122.316629"
Stevens Court L (SCL),http://www.washington.edu/maps/?SCL,"47.654497,-122.316197"
Stevens Court M (SCM),http://www.washington.edu/maps/?SCM,"47.654163,-122.316073"
Student Union Building (HUB),http://www.washington.edu/maps/?HUB,"47.655318,-122.30519045767"
Suzzallo Library (SUZ),http://www.washington.edu/maps/?SUZ,"47.6557692268,-122.308289661"
SW Maintenance Bldg (SWMB),http://www.washington.edu/maps/?SWMB,"47.654728705826,-122.31527682209"
Terry Hall (TER),http://www.washington.edu/maps/?TER,"47.655776680295,-122.31649708598"
The Liberal Arts Quadrangle - The Quad (LNDMK-1),http://www.washington.edu/maps/?LNDMK-1,"47.65725,-122.30724"
Theodor Jacobsen Observatory (OBS),http://www.washington.edu/maps/?OBS,"47.660297643191,-122.30929772884"
Thomson Hall (THO),http://www.washington.edu/maps/?THO,"47.656504413384,-122.30587564418"
Transportation Services Building (TSB),http://www.washington.edu/maps/?TSB,"47.662736935757,-122.30151774603"
University Book Store (BOOK),http://www.washington.edu/maps/?BOOK,"47.660296,-122.312889"
University Facilities Annex 1 (UFA),http://www.washington.edu/maps/?UFA,"47.654721386545,-122.30410146627"
University Facilities Annex 2 (UFA2),http://www.washington.edu/maps/?UFA2,"47.654668329105,-122.30385741531"
University Facilities Building (UFB),http://www.washington.edu/maps/?UFB,"47.655052546274,-122.30394710185"
"University Medical Center, Surgery And Treatment Pavilion (UMSP)",http://www.washington.edu/maps/?UMSP,"47.648553772237,-122.30526364418"
"University Medical Center, Wings Eb (UMEB)",http://www.washington.edu/maps/?UMEB,"47.648832,-122.305979"
